row	2000	4000	6000	8000	10000	12000	14000
199	0.53	0.55	0.54	0.595	0.49	0.485	0.51
200	0.5323383084577115	0.5522388059701493	0.5422885572139303	0.5920398009950248	0.4925373134328358	0.48756218905472637	0.5124378109452736
201	0.5346534653465347	0.5544554455445545	0.5396039603960396	0.5891089108910891	0.49504950495049505	0.4900990099009901	0.5148514851485149
202	0.5369458128078818	0.5566502463054187	0.541871921182266	0.5911330049261084	0.4975369458128079	0.49261083743842365	0.5172413793103449
203	0.5343137254901961	0.553921568627451	0.5441176470588235	0.5882352941176471	0.5	0.4950980392156863	0.5196078431372549
204	0.5317073170731708	0.5560975609756098	0.5414634146341464	0.5853658536585366	0.4975609756097561	0.4975609756097561	0.5170731707317073
205	0.529126213592233	0.558252427184466	0.5436893203883495	0.5825242718446602	0.5	0.49514563106796117	0.5194174757281553
206	0.5314009661835749	0.5555555555555556	0.5458937198067633	0.5845410628019324	0.5024154589371981	0.4927536231884058	0.5169082125603864
207	0.5288461538461539	0.5528846153846154	0.5432692307692307	0.5865384615384616	0.5048076923076923	0.4951923076923077	0.5144230769230769
208	0.5311004784688995	0.5502392344497608	0.5454545454545454	0.583732057416268	0.507177033492823	0.49760765550239233	0.5167464114832536
209	0.5285714285714286	0.5523809523809524	0.5476190476190477	0.580952380952381	0.5095238095238095	0.5	0.5190476190476191
210	0.5308056872037915	0.5497630331753555	0.5497630331753555	0.5829383886255924	0.5118483412322274	0.4976303317535545	0.5213270142180095
211	0.5330188679245284	0.5518867924528302	0.5518867924528302	0.5849056603773585	0.5141509433962265	0.49528301886792453	0.5188679245283019
212	0.5305164319248826	0.5539906103286385	0.5539906103286385	0.5821596244131455	0.5164319248826291	0.49765258215962443	0.5164319248826291
213	0.5327102803738317	0.5560747663551402	0.5560747663551402	0.5841121495327103	0.5186915887850467	0.5	0.5186915887850467
214	0.5348837209302325	0.5581395348837209	0.5581395348837209	0.586046511627907	0.5162790697674419	0.5023255813953489	0.5209302325581395
215	0.5324074074074074	0.5601851851851852	0.5601851851851852	0.5879629629629629	0.5185185185185185	0.5	0.5185185185185185
216	0.5299539170506913	0.5622119815668203	0.5576036866359447	0.5898617511520737	0.5207373271889401	0.5023041474654378	0.5207373271889401
217	0.5321100917431193	0.5642201834862385	0.555045871559633	0.5871559633027523	0.518348623853211	0.5045871559633027	0.518348623853211
218	0.5342465753424658	0.5662100456621004	0.5570776255707762	0.5844748858447488	0.5159817351598174	0.502283105022831	0.5205479452054794
219	0.5363636363636364	0.5636363636363636	0.5590909090909091	0.5863636363636363	0.5136363636363637	0.5045454545454545	0.5227272727272727
220	0.5339366515837104	0.5656108597285068	0.5610859728506787	0.583710407239819	0.5113122171945701	0.502262443438914	0.5248868778280543
221	0.5315315315315315	0.5675675675675675	0.5585585585585585	0.5855855855855856	0.509009009009009	0.5	0.5225225225225225
222	0.5336322869955157	0.5695067264573991	0.5605381165919282	0.5874439461883408	0.5067264573991032	0.4977578475336323	0.5246636771300448
223	0.5357142857142857	0.5714285714285714	0.5625	0.5892857142857143	0.5089285714285714	0.4955357142857143	0.5223214285714286
224	0.5377777777777778	0.5733333333333334	0.5644444444444444	0.5866666666666667	0.5066666666666667	0.49777777777777776	0.52
225	0.5398230088495575	0.5752212389380531	0.5663716814159292	0.588495575221239	0.5088495575221239	0.5	0.5221238938053098
226	0.5418502202643172	0.5726872246696035	0.5638766519823789	0.5859030837004405	0.5066079295154186	0.5022026431718062	0.5198237885462555
